id,transaction
0,shrimp|almonds|avocado|vegetables mix|green grapes|whole weat flour|yams|cottage cheese|energy drink|tomato juice|low fat yogurt|green tea|honey|salad|mineral water|salmon|antioxydant juice|frozen smoothie|spinach|olive oil
1,burgers|meatballs|eggs
2,turkey|avocado
3,mineral water|milk|energy bar|whole wheat rice|green tea
4,whole wheat pasta|french fries
5,soup|light cream|shallot
6,frozen vegetables|spaghetti|green tea
7,eggs|pet food
8,turkey|burgers|mineral water|eggs|cooking oil
9,spaghetti|champagne|cookies
10,mineral water|salmon
11,shrimp|chocolate|chicken|honey|oil|cooking oil|low fat yogurt
12,turkey|eggs
13,turkey|fresh tuna|tomatoes|spaghetti|mineral water|black tea|salmon|eggs|chicken|extra dark chocolate
14,meatballs|milk|honey|french fries|protein bar
15,red wine|shrimp|pasta|pepper|eggs|chocolate|shampoo
16,rice|sparkling water
17,spaghetti|mineral water|ham|body spray|pancakes|green tea
18,burgers|grated cheese|shrimp|pasta|avocado|honey|white wine|toothpaste
19,parmesan cheese|spaghetti|soup|avocado|milk|fresh bread
20,ground beef|spaghetti|mineral water|milk|energy bar|black tea|salmon|frozen smoothie|escalope
21,mineral water|eggs|chicken|chocolate|french fries
22,frozen vegetables|spaghetti|yams|mineral water
23,herb & pepper|tomato sauce|light cream|magazines
24,mineral water|chocolate|avocado|eggs
25,turkey|french fries|strawberries
26,frozen vegetables|strong cheese|chocolate
27,pickles|spaghetti|salmon|escalope
28,energy bar|french fries
29,red wine|ground beef|mineral water
30,mineral water|cake|cottage cheese
31,pickles|champagne|green tea
32,fresh tuna|frozen vegetables|spaghetti|mineral water|honey|whole wheat rice|frozen smoothie|escalope
33,soup|meatballs|hot dogs|sparkling water
34,soup|avocado|french fries|hot dogs|brownies|body spray|pancakes|green tea
35,mineral water|chicken|cereals|clothes accessories
36,mineral water|bug spray
37,avocado|muffins
38,burgers|black tea|green tea
39,spaghetti|chocolate|brownies|white wine|green tea
40,fresh tuna|mineral water|eggs
41,spaghetti|muffins
42,spaghetti|chocolate
43,french fries|escalope|champagne
44,tomato sauce|light mayo
45,turkey|fresh tuna|frozen vegetables|tomatoes|ground beef|spaghetti|mineral water|chocolate|soup|milk|olive oil
46,eggs|cookies
47,soup|chicken|gums|soda|body spray|energy drink|green tea
48,turkey|frozen vegetables|mineral water|cider|cooking oil|green tea
49,soup|bug spray|shallot|protein bar|green tea
50,turkey|eggs
51,chocolate|milk
52,herb & pepper|whole wheat pasta|ground beef|mineral water|avocado|cider|whole wheat rice
53,shrimp|pasta
54,grated cheese|herb & pepper|tomatoes|tomato sauce|corn
55,burgers|escalope|shallot
56,soup|eggs
57,mineral water|chocolate|low fat yogurt
58,eggs|strawberries
59,grated cheese|ground beef|spaghetti|mineral water|white wine
60,eggs|cake|french fries
61,burgers|spaghetti|milk|french fries|green tea
62,mineral water|energy bar|butter|french fries
63,burgers|grated cheese|herb & pepper|mineral water|eggs|cooking oil
64,energy bar|energy drink
65,chocolate|frozen smoothie
66,asparagus|salad
67,burgers|french fries|low fat yogurt|green tea
68,burgers|herb & pepper|shrimp|pasta|spaghetti|mineral water|meatballs|olive oil|energy bar|french wine|eggs|salt
69,champagne|low fat yogurt
70,burgers|almonds|eggs|french fries|cookies|green tea
71,ham|soup|escalope|body spray
72,turkey|ham|frozen vegetables|pepper|oil|extra dark chocolate|tea|magazines
73,muffins|eggs|cookies
